                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2284,                 3.6666,                 1.3236,                0.56817,                0.73789,                0.57121,                0.41752,                0.84023,                 2.9668,                 1.0736,                0.00023,                0.00023,                0.00023
                      2,                0.90372,                 1.6451,                 1.0561,                0.48987,                0.87859,                0.67685,                0.50282,                0.81781,                 2.9086,                0.95759,             0.00046069,             0.00046069,             0.00046069
                      3,                0.87395,                 1.3264,                 1.0344,                0.64362,                0.71814,                0.76305,                0.59458,                0.82581,                 1.3474,                0.97214,             0.00068188,             0.00068188,             0.00068188
                      4,                0.86596,                 1.2387,                 1.0364,                0.63123,                0.72666,                0.76145,                0.58154,                0.80733,                 1.3075,                0.96197,             0.00089357,             0.00089357,             0.00089357
                      5,                 0.8446,                 1.1883,                 1.0274,                0.69108,                0.76766,                  0.798,                0.62584,                0.73574,                 1.3815,                0.98014,              0.0009208,              0.0009208,              0.0009208
                      6,                0.79027,                 1.1179,                 1.0093,                0.68284,                0.82116,                0.82513,                0.65947,                0.74528,                 1.2648,                0.98143,               0.000901,               0.000901,               0.000901
                      7,                0.80709,                 1.0349,                 1.0108,                0.77895,                0.76466,                0.85313,                0.70784,                0.65041,                 0.9321,                 0.9287,              0.0008812,              0.0008812,              0.0008812
                      8,                0.74578,                0.97939,                 1.0068,                0.68004,                0.78543,                0.84784,                0.69607,                0.67721,                 1.1102,                 0.9385,              0.0008614,              0.0008614,              0.0008614
                      9,                 0.7631,                0.94869,                  1.007,                0.81246,                0.81698,                0.89099,                0.72764,                0.69254,                0.79193,                0.94188,              0.0008416,              0.0008416,              0.0008416
                     10,                0.77807,                0.95787,                  1.019,                0.79671,                0.91141,                 0.9039,                0.75098,                0.65177,                0.75477,                0.92722,              0.0008218,              0.0008218,              0.0008218
                     11,                0.79077,                0.91307,                0.99243,                0.73264,                 0.7987,                0.80731,                0.65699,                0.70632,                  1.022,                0.94999,               0.000802,               0.000802,               0.000802
                     12,                0.70868,                0.85774,                0.98928,                0.88049,                0.82607,                0.90693,                 0.7566,                0.62431,                0.79011,                0.92111,              0.0007822,              0.0007822,              0.0007822
                     13,                0.75919,                0.85697,                0.99529,                0.85636,                0.89757,                0.91983,                0.79955,                0.57095,                0.67101,                0.90122,              0.0007624,              0.0007624,              0.0007624
                     14,                0.69617,                0.87527,                0.98112,                0.82851,                0.92199,                0.93904,                0.81422,                0.55503,                0.68881,                0.89979,              0.0007426,              0.0007426,              0.0007426
                     15,                0.70588,                 0.8241,                0.98024,                0.82984,                0.87154,                0.92947,                0.79229,                0.60183,                0.72726,                0.90536,              0.0007228,              0.0007228,              0.0007228
                     16,                0.73051,                0.80209,                 0.9818,                 0.8621,                0.85337,                0.92153,                0.77992,                0.59301,                0.72624,                0.90081,               0.000703,               0.000703,               0.000703
                     17,                 0.6615,                0.74671,                0.96278,                0.86729,                0.86892,                0.94181,                0.82651,                0.57257,                0.68035,                0.89533,              0.0006832,              0.0006832,              0.0006832
                     18,                0.69455,                0.75367,                 0.9758,                0.89296,                0.88191,                0.94913,                0.81937,                0.56377,                0.63575,                0.90195,              0.0006634,              0.0006634,              0.0006634
                     19,                0.65151,                0.75536,                0.96578,                0.90457,                0.89843,                0.94683,                0.82492,                0.53921,                0.55729,                0.88529,              0.0006436,              0.0006436,              0.0006436
                     20,                0.64725,                0.73727,                0.96538,                0.87961,                0.92937,                0.95467,                0.85095,                0.51908,                0.58176,                0.88347,              0.0006238,              0.0006238,              0.0006238
                     21,                0.62832,                0.67294,                0.95107,                0.86429,                0.93058,                0.96206,                0.84027,                0.52983,                0.57987,                0.87046,               0.000604,               0.000604,               0.000604
                     22,                0.64993,                0.71369,                0.98491,                0.92606,                0.91708,                0.95027,                 0.8393,                0.50417,                0.57422,                0.87024,              0.0005842,              0.0005842,              0.0005842
                     23,                 0.6477,                0.69416,                0.96216,                0.91636,                0.88199,                0.95697,                0.83969,                0.53422,                0.56704,                0.87995,              0.0005644,              0.0005644,              0.0005644
                     24,                 0.6369,                0.70893,                0.94922,                  0.929,                0.91633,                0.96798,                0.85433,                0.49334,                 0.5343,                0.87138,              0.0005446,              0.0005446,              0.0005446
                     25,                0.60198,                0.64155,                 0.9453,                0.93699,                0.92559,                0.95974,                0.85824,                0.49781,                0.51872,                0.87202,              0.0005248,              0.0005248,              0.0005248
                     26,                0.59801,                0.63263,                 0.9408,                 0.9223,                0.94926,                0.96477,                0.85843,                0.50719,                0.52631,                0.87524,               0.000505,               0.000505,               0.000505
                     27,                0.61866,                0.64989,                0.95515,                 0.9361,                0.93322,                0.97097,                0.87381,                0.46674,                0.46532,                 0.8612,              0.0004852,              0.0004852,              0.0004852
                     28,                0.56102,                0.62598,                0.93406,                0.92544,                0.95504,                0.97402,                0.88391,                0.44591,                 0.4582,                0.85899,              0.0004654,              0.0004654,              0.0004654
                     29,                0.57763,                0.59535,                0.93789,                0.94303,                0.94462,                0.97887,                0.88355,                0.45156,                0.46893,                 0.8498,              0.0004456,              0.0004456,              0.0004456
                     30,                0.56334,                0.58594,                0.93347,                0.89978,                0.95425,                0.96685,                  0.881,                0.44128,                0.45884,                0.84494,              0.0004258,              0.0004258,              0.0004258
                     31,                0.56489,                0.57237,                0.93607,                0.91917,                0.91275,                0.97041,                0.88077,                0.45168,                0.52214,                0.85185,               0.000406,               0.000406,               0.000406
                     32,                0.57089,                 0.5867,                0.94651,                0.95148,                0.94867,                0.97962,                0.89758,                0.43789,                0.42424,                0.84082,              0.0003862,              0.0003862,              0.0003862
                     33,                0.55043,                0.56928,                0.92147,                 0.9166,                0.93759,                0.97922,                0.89742,                0.43654,                 0.4666,                0.84081,              0.0003664,              0.0003664,              0.0003664
                     34,                0.53944,                0.56795,                0.92496,                0.94337,                0.93522,                0.96841,                0.89414,                 0.4348,                0.43092,                0.84275,              0.0003466,              0.0003466,              0.0003466
                     35,                0.55706,                0.59256,                0.91912,                 0.9541,                0.95327,                0.97678,                0.89614,                0.41502,                0.41574,                0.82965,              0.0003268,              0.0003268,              0.0003268
                     36,                 0.5299,                0.54175,                0.92337,                0.94354,                 0.9598,                0.97831,                0.89286,                0.43522,                0.41325,                 0.8306,               0.000307,               0.000307,               0.000307
                     37,                 0.5374,                0.55849,                0.93028,                 0.9371,                0.93209,                 0.9775,                0.89011,                 0.4432,                0.43847,                0.84071,              0.0002872,              0.0002872,              0.0002872
                     38,                 0.5209,                0.53926,                0.91559,                0.96315,                0.95737,                0.98094,                0.91593,                 0.3966,                0.38229,                0.82881,              0.0002674,              0.0002674,              0.0002674
                     39,                0.51739,                0.51472,                0.91809,                0.94786,                 0.9548,                 0.9808,                  0.908,                0.39847,                0.39149,                0.83328,              0.0002476,              0.0002476,              0.0002476
                     40,                0.50326,                0.48075,                0.91727,                0.95927,                0.94767,                0.98333,                 0.9132,                0.37237,                0.38035,                0.82613,              0.0002278,              0.0002278,              0.0002278
                     41,                0.40655,                0.38059,                0.86282,                0.96231,                0.94677,                 0.9828,                0.91716,                0.38864,                0.37674,                0.82956,               0.000208,               0.000208,               0.000208
                     42,                0.40279,                0.36501,                0.85928,                0.96244,                0.96551,                0.98113,                0.92406,                0.36528,                0.35651,                0.82554,              0.0001882,              0.0001882,              0.0001882
                     43,                0.39072,                0.35578,                0.86557,                 0.9563,                0.95983,                0.98022,                0.91985,                0.37274,                0.37045,                0.82473,              0.0001684,              0.0001684,              0.0001684
                     44,                 0.3864,                0.35456,                0.85644,                0.96501,                0.97052,                0.98548,                0.91711,                0.38421,                0.34244,                0.82492,              0.0001486,              0.0001486,              0.0001486
                     45,                0.38278,                0.34944,                0.85679,                0.96276,                0.97442,                0.98523,                0.92141,                0.36658,                0.33932,                0.82462,              0.0001288,              0.0001288,              0.0001288
                     46,                0.37542,                0.34619,                0.85126,                0.96151,                0.96222,                0.97932,                0.92315,                0.35781,                0.37085,                0.81951,               0.000109,               0.000109,               0.000109
                     47,                0.36776,                0.34003,                0.85686,                0.96209,                0.96675,                 0.9821,                0.93214,                0.34147,                0.34581,                0.81498,               8.92e-05,               8.92e-05,               8.92e-05
                     48,                0.35221,                0.31681,                 0.8373,                0.96614,                0.96763,                0.98229,                0.94121,                0.33976,                0.34061,                0.81606,               6.94e-05,               6.94e-05,               6.94e-05
                     49,                0.34354,                0.30999,                0.83935,                0.96378,                0.96687,                0.98011,                0.94114,                0.33191,                0.34167,                0.81116,               4.96e-05,               4.96e-05,               4.96e-05
                     50,                 0.3429,                 0.3137,                 0.8405,                0.96188,                0.96616,                0.98204,                0.94489,                 0.3228,                0.33295,                0.80734,               2.98e-05,               2.98e-05,               2.98e-05
